transaction,txTime (ms),propagationTime (ms)
454,5044,4
455,5036,3
456,5032,3
457,5026,2
458,5032,3
459,5032,3
460,4082,562
461,5029,4
462,5029,6
463,5031,3
464,5033,4
465,5034,3
466,5033,2
467,5035,3
468,5034,2
469,5031,2
470,4047,610
471,5046,3
472,5031,3
473,5046,2
474,5028,4
475,5038,3
476,5031,2
477,5027,3
478,5032,3
479,5028,3
480,5039,2
481,4025,619
482,5031,3
483,5041,2
484,5025,2
485,5045,3
486,5032,3
487,5032,3
488,5029,3
489,5031,3
490,5026,2
491,5034,5
492,4031,600
493,5051,3
494,5034,2
495,5028,3
496,5031,3
497,5029,3
498,5049,2
499,5028,3
500,5034,2
501,5026,3
502,5035,3
503,4029,595
504,5044,3
505,5027,6
506,5029,3
507,5035,2
508,5036,3
509,5059,3
510,5028,2
511,5048,3
512,5027,2
513,4030,622
514,5030,7
515,5088,3
516,5033,3
517,5030,3
518,5025,3
519,5035,2
520,5032,3
521,5034,2
522,5026,3
523,4031,581
524,5048,3
525,5031,3
526,5038,3
527,5032,3
528,5032,3
529,5031,2
530,5053,2
531,5027,3
532,5033,3
533,5029,3
534,4030,592
535,5029,3
536,5034,2
537,5026,3
538,5033,3
539,5030,3
540,5049,2
541,5030,3
542,5032,2
543,5028,3
544,5031,3
545,4026,620
546,5035,3
547,4756,208
548,5032,2
549,5038,3
550,5033,4
551,5031,4
552,5032,3
553,5028,3
554,5032,3
555,5026,3
556,5037,3
557,5026,4
558,4051,605
559,5057,10
560,5038,3
561,5030,3
562,5032,3
563,5036,4
564,5031,10
565,5032,3
566,5030,2
567,5033,3
568,4035,607
569,5060,3
570,5032,3
571,5032,4
572,5035,2
573,5028,2
574,5029,3
575,5031,3
576,5033,4
577,5032,3
578,4040,609
579,5033,6
580,5027,3
581,5038,2
582,5030,4
583,5032,3
584,5030,3
585,5033,3
586,5027,2
587,5032,4
588,5027,3
589,5031,2
590,4028,600
591,5049,3
592,5034,2
593,5030,3
594,5048,5
595,5045,3
596,5034,4
597,5031,3
598,5034,2
599,5028,2
600,4032,590
601,5040,3
602,5031,4
603,5030,4
604,5032,3
605,5028,3
606,5028,2
607,5027,2
608,5036,3
609,5027,2
610,5046,3
611,4033,620
612,5044,4
613,5038,3
614,5031,3
615,5026,4
616,5052,2
617,5030,3
618,5027,3
619,5027,3
620,5030,3
621,5033,2
622,4032,597
623,5052,2
624,5031,3
625,5032,2
626,5029,2
627,5029,3
628,5026,4
629,5032,3
630,5030,2
631,5044,2
632,5033,3
633,4026,600
634,5039,2
635,5026,3
636,5050,3
637,5026,2
638,5030,3
639,5036,2
640,5033,3
641,5030,3
642,5029,2
643,5028,3
644,4033,625
645,5075,3
646,5030,3
647,5029,2
648,5029,3
649,5028,3
650,5032,3
651,5034,3
652,5033,5
653,4362,316
654,5034,4
655,5036,3
656,5027,3
657,5043,3
658,5029,2
659,5030,3
660,5030,3
661,5025,3
662,5032,2
663,5034,3
664,4029,601
665,5036,4
666,5035,2
667,5036,3
668,5028,3
669,5038,3
670,5032,9
671,5042,3
672,5031,2
673,5031,3
674,5034,3
675,4024,612
676,5040,3
677,5033,6
678,5030,2
679,5037,3
680,5028,3
681,5036,3
682,5029,3
683,5048,3
684,5028,2
685,5030,2
686,4033,598
687,5028,3
688,5034,2
689,5029,3
690,5033,2
691,5025,3
692,5032,2
693,5038,4
694,5052,3
695,5048,3
696,4028,626
697,5037,3
698,5045,3
699,5031,3
700,5035,3
701,5028,3
702,5031,3
703,5031,2
704,5030,4
705,5028,2
706,5032,2
707,4024,607
708,5050,3
709,5027,3
710,5034,3
711,5026,3
712,5048,15
713,5026,3
714,5030,6
715,5027,3
716,5029,4
717,4038,614
718,5036,3
719,5029,4
720,5035,3
